question_id,question,ote_openness,ote_conscientiousness,ote_extraversion,ote_agreeableness,ote_neuroticism,best_construct,best_ote,high_openness,high_conscientiousness,high_extraversion,high_agreeableness,high_neuroticism,n_high_traits,high_traits
1,Introduce yourself,0.204,0.054,0.235,0.106,0.061,extraversion,0.235,False,False,True,False,False,1,extraversion
2,What are your greatest strengths and weaknesses?,0.358,0.321,0.312,0.435,0.372,agreeableness,0.435,True,True,True,True,True,5,"openness, conscientiousness, extraversion, agreeableness, neuroticism"
3,How do you handle changes or unexpected situations in the workplace?,0.086,0.121,0.229,0.181,0.149,extraversion,0.229,False,False,False,False,False,0,
4,What is your biggest achievement so far?,0.173,0.263,0.155,0.128,0.105,conscientiousness,0.263,False,True,False,False,False,1,conscientiousness
5,Tell me about a time when you went above and beyond the call of duty to achieve a goal or deliver results.,0.149,0.244,0.148,0.109,0.048,conscientiousness,0.244,False,False,False,False,False,0,
6,Give me an example of your creativity.,0.33,0.24,0.178,0.179,0.183,openness,0.33,True,False,False,False,False,1,openness
7,How do you work under pressure? Can you handle the pressure?,0.047,0.106,0.029,0.065,0.072,conscientiousness,0.106,False,False,False,False,False,0,
8,"If you won a Rs.10-crore lottery, would you still work?",0.021,0.057,-0.033,0.029,0.011,conscientiousness,0.057,False,False,False,False,False,0,
9,What motivates you?,0.304,0.247,0.364,0.316,0.285,extraversion,0.364,True,False,True,True,True,4,"openness, extraversion, agreeableness, neuroticism"
10,Can you give an example of a time when you successfully implemented a solution to improve a process or procedure?,0.07,0.148,0.031,0.08,0.0,conscientiousness,0.148,False,False,False,False,False,0,
11,Tell me about a time when you had to step into a role outside of your expertise to support the team's objectives.,0.139,0.206,0.224,0.15,0.006,extraversion,0.224,False,False,False,False,False,0,
12,How do you respond to change?,0.131,0.082,0.21,0.214,0.156,agreeableness,0.214,False,False,False,False,False,0,
13,What was the toughest decision you ever had to make?,0.113,0.095,0.073,0.18,0.114,agreeableness,0.18,False,False,False,False,False,0,
14,What is your greatest fear?,0.179,0.125,0.17,0.192,0.357,neuroticism,0.357,False,False,False,False,True,1,neuroticism
15,"Describe a project where you took the lead in implementing a new strategy or process, driving positive change within your team or organization.",0.231,0.207,0.187,0.149,0.12,openness,0.231,False,False,False,False,False,0,
16,Describe a situation where you identified a problem before it became significant. What steps did you take to address it?,0.111,0.134,0.115,0.132,0.189,neuroticism,0.189,False,False,False,False,True,1,neuroticism
17,How would you rate yourself on a scale of 1 to 10?,0.249,0.219,0.27,0.327,0.189,agreeableness,0.327,True,False,True,True,True,4,"openness, extraversion, agreeableness, neuroticism"
18,How do you handle stress and anxiety?,0.107,0.191,0.121,0.134,0.41,neuroticism,0.41,False,False,False,False,True,1,neuroticism
