question_id,group,question
1,Self-description,Introduce yourself
2,Self-description,What are your greatest strengths and weaknesses?
3,Learning & adaptability,How do you handle changes or unexpected situations in the workplace?
4,Past behavioral experience,What is your biggest achievement so far?
5,Past behavioral experience,Tell me about a time when you went above and beyond the call of duty to achieve a goal or deliver results.
6,Past behavioral experience,Give me an example of your creativity.
7,Stress/conflict,How do you work under pressure? Can you handle the pressure?
8,Hypothetical/situational,"If you won a Rs.10-crore lottery, would you still work?"
9,Values & motivation,What motivates you?
10,Past behavioral experience,Can you give an example of a time when you successfully implemented a solution to improve a process or procedure?
11,Leadership/teamwork,Tell me about a time when you had to step into a role outside of your expertise to support the team's objectives.
12,Learning & adaptability,How do you respond to change?
13,Stress/conflict,What was the toughest decision you ever had to make?
14,Stress/conflict,What is your greatest fear?
15,Leadership/teamwork,"Describe a project where you took the lead in implementing a new strategy or process, driving positive change within your team or organization."
16,Past behavioral experience,Describe a situation where you identified a problem before it became significant. What steps did you take to address it?
17,Self-description,How would you rate yourself on a scale of 1 to 10?
18,Stress/conflict,How do you handle stress and anxiety?
19,Past behavioral experience,Tell me about a time when you were not satisfied with your performance?
20,Past behavioral experience,Can you give an example of a time when you successfully managed multiple competing priorities?
21,Values & motivation,Where do you see yourself in the next 5 years?
22,Self-description,Why should a company hire you?
23,Self-description,Are you reliable? or Can I trust you with responsibilities?
24,Stress/conflict,What makes you angry?
25,Leadership/teamwork,Can you give an example of a time when you had to persuade others to adopt your ideas or proposals?
26,Past behavioral experience,Can you give an example of a time when you had to take the initiative to solve a problem without being asked?
27,Self-description,Are you open to take risks? or Do you like experimenting?
28,Values & motivation,What is your dream company like?
29,Self-description,Do you have a good work ethic?
30,Leadership/teamwork,Tell me about a time when you recognized and capitalized on the unique strengths of individual team members to achieve a common goal.
31,Leadership/teamwork,Tell me about a time when you successfully resolved a long-standing issue that had been impeding progress within your team or organization.
32,Learning & adaptability,How do you improve your knowledge?
33,Self-description,What are your hobbies?
34,Leadership/teamwork,Can you give an example of a time when you led by example to promote a positive work culture or values?
35,Leadership/teamwork,"Describe a project where you encouraged open communication and feedback among team members, leading to improved collaboration and outcomes."
36,Self-description,Is there anything that makes you different from other candidates?
37,Self-description,Can you describe your time management skills?
38,Leadership/teamwork,Can you describe a situation where you had to overcome a significant challenge in a team setting?
39,Hypothetical/situational,What do you do to ensure that your task is completed effectively?
40,Leadership/teamwork,Can you give an example of a time when you demonstrated leadership skills?
41,Values & motivation,What are the three things that are most important for you in a job?
42,Stress/conflict,How did you handle disagreements?
43,Stress/conflict,"Tell me about a time where you experienced difficulty while working on a project, how did you handle it?"
44,Self-description,What makes you happy?
45,Leadership/teamwork,"Can you give an example of a situation where you mentored a junior colleague, helping them grow professionally and personally?"
46,Values & motivation,What are you passionate about?
47,Values & motivation,What motivates you to perform at your best in the workplace?
48,Learning & adaptability,Describe a time when you proactively sought out opportunities to develop new skills or knowledge relevant to your role.
49,Past behavioral experience,Can you give an example of a situation where you leveraged technology or automation to streamline a process and increase efficiency?
50,Leadership/teamwork,Share a story of a project where you collaborated with a cross-functional team to deliver exceptional results.
51,Learning & adaptability,Describe a situation where you had to adapt to a change in the work environment.
52,Past behavioral experience,What are you most proud of?
53,Values & motivation,What do you think is an ideal work environment?
54,Leadership/teamwork,Tell me about a project you initiated or led that had a positive impact on your team or organization.
55,Stress/conflict,Can you give an example of a time when you had to resolve a disagreement or misunderstanding within a team?
56,Stress/conflict,How do you deal with criticism?
57,Stress/conflict,Tell me about a time when you failed to meet a goal or objective. How did you handle it?
58,Stress/conflict,What has been your greatest failure?
59,Stress/conflict,Tell me about a time when you had to resolve a conflict with a coworker or team member.
60,Leadership/teamwork,Share a story of a project where you led the team in developing and implementing a solution that resulted in significant cost savings or revenue growth.
61,Learning & adaptability,Tell me about a time when you had to work on a project outside of your comfort zone. How did you handle it?
62,Self-description,Are you an organized person?
63,Self-description,What do you always regret? Or Do you have any regrets?
64,Leadership/teamwork,Share a story of how you took ownership of a project that was struggling and turned it into a success through your initiative.
65,Leadership/teamwork,Can you give an example of a situation where you successfully motivated a disengaged team member to contribute effectively to a project?
66,Learning & adaptability,How do you learn new skills?
67,Stress/conflict,Describe a situation where you had to prioritize tasks under tight deadlines.
68,Learning & adaptability,How quickly do you adapt to new technology?
69,Leadership/teamwork,Can you give an example of a time when you facilitated a productive team meeting or discussion?
70,Leadership/teamwork,Describe a project where you collaborated with stakeholders to define the problem and develop a solution that met everyone's needs.
71,Values & motivation,What is your dream job like?
72,Self-description,What are your weaknesses?
73,Past behavioral experience,Tell me about a time when you proposed an innovative idea that significantly improved team efficiency or productivity.
74,Leadership/teamwork,Can you give an example of a time when you coached or mentored a colleague to help them achieve their goals?
75,Leadership/teamwork,"Share a story of a time when you rallied your team during a crisis, fostering resilience and determination."
76,Self-description,Tell me about yourself
